"RELLAKE","STATIONID","TOWN","STATNAM","year","CHL_comp","PH_epi","PH_hypo","PH_meta","PH_trib","SECCHI","SECCHI_NVS","SPCD_epi","SPCD_hypo","SPCD_meta","SPCD_trib","TP_epi","TP_hypo","TP_meta","TP_trib","alk_epi","alk_hypo","alk_meta","alk_trib","chloride_epi","chloride_hypo","chloride_meta","chloride_trib","color_epi","color_hypo","color_meta","color_trib","ecoli_trib","turb_epi","turb_hypo","turb_meta","turb_trib","lake_name","lake_town","start_year"
"MILLVILLE LAKE","MILSALD","SALEM","MILLVILLE LAKE-DEEP SPOT",2023,16.165,7.17,6.72,NA,NA,2.08,1.85,279,349,NA,NA,22.3,37.4,NA,NA,26.7,NA,NA,NA,75.9,82,NA,NA,138,NA,NA,NA,NA,1.17,10.9,NA,NA,NA,NA,NA
"MILLVILLE LAKE","MILSALD","SALEM","MILLVILLE LAKE-DEEP SPOT",2024,24.91,7.595,6.795,NA,NA,1.9,1.55,310,287,NA,NA,33.25,33.35,NA,NA,34.05,NA,NA,NA,90.8,87.55,NA,NA,104,NA,NA,NA,NA,1.55,6.635,NA,NA,NA,NA,NA
"MILLVILLE LAKE","MILSALD","SALEM","MILLVILLE LAKE-DEEP SPOT",2025,11.81,7.39,6.93,NA,NA,2.25,1.7,358.2,343.3,NA,NA,19.2,35.3,NA,NA,31.45,NA,NA,NA,72.1,67.9,NA,NA,104,NA,NA,NA,NA,1.72,2.8,NA,NA,NA,NA,NA
"OPECHEE BAY","OPELACD","LACONIA","OPECHEE BAY-DEEP SPOT",2022,0.92,NA,6.21,6.48,NA,7.125,6.125,114.6,121.7,123.2,NA,5.35,14.1,8.93,NA,9.3,NA,NA,NA,20.5,NA,NA,NA,20,NA,NA,NA,NA,0.48,1.48,0.54,NA,NA,NA,NA
"OPECHEE BAY","OPELACD","LACONIA","OPECHEE BAY-DEEP SPOT",2023,1.6,7.01,6.77,6.83,NA,7.33,5.85,104,111.4,109.2,NA,6.85,9.58,7.805,NA,9.2,NA,NA,NA,20.8,NA,NA,NA,11,NA,NA,NA,NA,0.88,0.675,0.71,NA,NA,NA,NA
"OPECHEE BAY","OPELACD","LACONIA","OPECHEE BAY-DEEP SPOT",2024,1.19,7.1,6.49,6.55,NA,7.35,5.5,101.8,109.8,110.9,NA,5.78,13,8.43,NA,9.45,NA,NA,NA,25.6,NA,NA,NA,18,NA,NA,NA,NA,0.44,0.63,0.46,NA,NA,NA,NA
"OPECHEE BAY","OPELACD","LACONIA","OPECHEE BAY-DEEP SPOT",2025,1.91,7.1,6.725,6.785,NA,6.975,6.615,99.79,104.2,79.32,NA,6.15,10.88,9.155,NA,9.6,NA,NA,NA,17.9,NA,NA,NA,16,NA,NA,NA,NA,0.53,1.53,0.715,NA,NA,NA,NA
"SILVER LAKE","SILHLSD","HOLLIS","SILVER LAKE-DEEP SPOT",2022,8.94,7.125,6.61,NA,NA,5.43,5.15,244,238,NA,NA,11.1,51.5,NA,NA,20,NA,NA,NA,52.3,58.1,NA,NA,30,NA,NA,NA,NA,0.58,5.9,NA,NA,NA,NA,NA
"SILVER LAKE","SILHLSD","HOLLIS","SILVER LAKE-DEEP SPOT",2023,7.335,7.365,7.24,NA,NA,4.125,3.565,236,237,NA,NA,11.3,13.85,NA,NA,19.6,NA,NA,NA,59.6,51.9,NA,NA,39,NA,NA,NA,NA,0.98,2.78,NA,NA,NA,NA,NA
"SILVER LAKE","SILHLSD","HOLLIS","SILVER LAKE-DEEP SPOT",2024,8.4,7.47,6.915,NA,NA,4.25,4,184.9,189.7,NA,NA,12.6,18.8,NA,NA,19.2,NA,NA,NA,53.5,57.45,NA,NA,28,NA,NA,NA,NA,0.87,1.29,NA,NA,NA,NA,NA
"SILVER LAKE","SILHLSD","HOLLIS","SILVER LAKE-DEEP SPOT",2025,2.775,7.275,7.245,7.25,NA,4.375,4.25,193.65,201.1,191.1,NA,10.025,10.8,10.9,NA,18.6,NA,NA,NA,42.05,39.85,46.9,NA,20.5,NA,NA,NA,NA,0.63,0.725,0.86,NA,NA,NA,NA
"WEARE RESERVOIR","WEAWEAD","WEARE","WEARE RESERVOIR-DEEP SPOT",2023,12.42,6.88,6.26,6.485,NA,3.575,3.1,63.8,65.45,63.65,NA,11.52,18.8,15.6,NA,6.75,NA,NA,NA,13.3,NA,NA,NA,74,NA,NA,NA,NA,0.59,2.38,1.625,NA,NA,NA,NA
"WEARE RESERVOIR","WEAWEAD","WEARE","WEARE RESERVOIR-DEEP SPOT",2024,4.86,7.11,6.56,6.58,NA,4.25,3.5,59.7,64.6,60.6,NA,11,18.6,10.8,NA,7.8,NA,NA,NA,17.2,NA,NA,NA,56,NA,NA,NA,NA,0.73,3.05,0.79,NA,NA,NA,NA
"WEARE RESERVOIR","WEAWEAD","WEARE","WEARE RESERVOIR-DEEP SPOT",2025,6.18,6.72,6.28,6.2,NA,3.75,3.38,64.69,75.78,58.015,NA,13.4,33.8,16.7,NA,7.1,NA,NA,NA,11.1,NA,NA,NA,79,NA,NA,NA,NA,1.1,4.37,1.26,NA,NA,NA,NA
