year,Conductivity,Chloride,Phosphorus,Turbidity
2002,77.92,,9,0.79875
2003,90.34,,9,0.77
2004,82.19625,,7.5625,1.2925
2005,73.2425,,6.375,0.815
2006,72.3375,,8.75,0.785
2007,67.955,12.375,9.7125,0.95875
2008,86.198,,13.4,1.03
2009,64.774,,12.46,0.864
2010,63.6,9.133333333,7.7,0.764
2011,53.315,11.34,7.96,0.661
2012,71.64,10.68,9.38,0.72
2013,59.08,9.88,7.884,0.876
2014,68.62,12.6,7.206,0.722
2015,72.82,14,7.35,0.727
2016,78.43,13.4,11.709,1.437
2017,79.39,17.11,8.182,0.916
2018,92.63,18.15,7.424,0.494
2019,85.39,20.02,7.688,0.47
2020,85.42,20.28,18.34,0.636
2021,86.05,23.02,7.004,0.53
2022,91.65,18.4,11.03,0.65
2023,84.45,15.85,7.58,0.938
2024,76.31,22.73,13.494,0.85
2025,76.466,16.02,9.71,0.792
