stationid,consecutive_10yrs
04-MQB,FALSE
AKEERRD,FALSE
AUSSFFD,FALSE
AYEBARI,FALSE
BACPITD,FALSE
BACWOLD,FALSE
BILSUTD,FALSE
BLASUTB2,FALSE
BOLSULD,FALSE
BROBPITD,FALSE
BURWHID,FALSE
CASRICD,FALSE
CENNELD,FALSE
CHEHARD,FALSE
CHIHARD,FALSE
CLACLKD,FALSE
COLFITD,FALSE
CONFPITD,FALSE
COOPITD,FALSE
COUKIND,FALSE
CRYENFD,FALSE
DANTUFD,FALSE
DANWEAD,FALSE
DARLITD,FALSE
DERWEBD,FALSE
DIALSTED,FALSE
DIASTED,FALSE
DINSWHD,FALSE
DODLMND,FALSE
DREAMHD,FALSE
DUCFRED,FALSE
DUDDRGD,FALSE
DUNOSSD,FALSE
EASPITD,FALSE
ELBANDD,FALSE
FRACLKD,FALSE
FREHAVD,FALSE
GLEGOFD,FALSE
GOOCANBI,FALSE
GOOLCAND,FALSE
GUMPELD,FALSE
HALALTB,FALSE
HARPELD,FALSE
HIGSTDDC,FALSE
HORCNTD,FALSE
HORCONED,FALSE
HORCONWD,FALSE
HORMMKD,FALSE
HORWAKD,FALSE
HOTLOUD,FALSE
HOWDUBCBI,FALSE
HOWDUBD,FALSE
HUNSAND,FALSE
HUNSANN,FALSE
ISLLPELD,FALSE
IVAWAK3,FALSE
KEYHEND,FALSE
KIMCNTD,FALSE
LONDVLD,FALSE
LONNORD,FALSE
LONPELMAD,FALSE
LONPELNHD,FALSE
LOUMADD,FALSE
LUCNORD,FALSE
LYFCNTD,FALSE
MARCHID,FALSE
MAXMAND,FALSE
MEEMARD,FALSE
MELBRLD,FALSE
MILSALD,FALSE
MILSTRD,FALSE
MINNASD,FALSE
MIRTUFD,FALSE
MIRWHID,FALSE
MITBBRED,FALSE
MITWBRED,FALSE
MORSPRD,FALSE
MOUWEAD,FALSE
MUDDUBD,FALSE
OPELACD,FALSE
ORAORAD,FALSE
OTTGRED,FALSE
OXBCNTD,FALSE
PECRIND,FALSE
PEQCNWD,FALSE
PILWEBD,FALSE
PLEHEND,FALSE
POTBRLD,FALSE
PRANWISWI,FALSE
RAIDERD,FALSE
ROBSTDD,FALSE
ROBSTDO,FALSE
ROCHLSVLAPD,FALSE
ROULMND,FALSE
RUSSUTD,FALSE
SAWGLMD,FALSE
SCOFITD,FALSE
SCOPITD,FALSE
SEAWIND,FALSE
SHEGLMD,FALSE
SILHLSD,FALSE
SILTILD,FALSE
SIPFITD,FALSE
SKAHARG,FALSE
STOFITD,FALSE
STOGTMO,FALSE
STOHNVD,FALSE
SUCSUCD,FALSE
SUNALTI,FALSE
SUNLNWLWB,FALSE
SUNSUN050,FALSE
SUNSUN222D,FALSE
SUNSUN225D,FALSE
SUNSUN675,FALSE
TERPITD,FALSE
TOMWRNI,FALSE
TURBOWD,FALSE
TURBOWFP,FALSE
WALBOSD,FALSE
WEAWEAD,FALSE
WILSOMD,FALSE
WINBWOLD,FALSE
WINMERD,FALSE
